,Player,Agents,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD,Team,FK - FD
118,eKo,skye neon ,48,0.84,158.0,0.69,69%,105.8,0.50,0.44,0.10,0.15,15%,,0/5,12,24,35,21,5,7,TES,-2
119,DaveeyS,killjoy raze ,41,0.84,183.5,0.82,63%,135.6,0.66,0.12,0.12,0.07,26%,50%,2/4,19,27,33,5,5,3,KRÜ,2
120,nizhaoTZH,omen astra ,59,0.83,162.3,0.83,63%,89.4,0.59,0.27,0.07,0.08,23%,18%,2/11,14,35,42,16,4,5,DRG,-1
121,Sayaplayer,jett ,20,0.83,196.0,0.82,70%,136.6,0.70,0.00,0.25,0.25,50%,,0/1,14,14,17,0,5,5,T1,0
122,Dep,jett ,41,0.83,178.5,0.87,59%,113.5,0.63,0.10,0.10,0.24,34%,,0/3,15,26,30,4,4,10,ZETA,-6
123,Turko,breach kayo ,60,0.82,128.7,0.73,70%,94.8,0.50,0.30,0.03,0.08,31%,8%,1/12,20,30,41,18,2,5,FF,-3
124,AYRIN,viper killjoy ,58,0.82,184.0,0.8,57%,112.8,0.62,0.12,0.07,0.07,21%,21%,3/14,15,36,45,7,4,4,GE,0
125,BONECOLD,sage fade breach ,104,0.81,151.2,0.68,72%,103.3,0.50,0.38,0.07,0.14,25%,,0/5,15,52,77,39,7,15,VIT,-8
126,Secret,kayo breach ,48,0.81,146.0,0.68,73%,81.3,0.52,0.46,0.00,0.10,13%,,0/4,13,25,37,22,0,5,RSG,-5
127,Sayf,killjoy kayo ,41,0.79,172.5,0.84,63%,115.2,0.63,0.22,0.07,0.02,26%,,0/6,18,26,31,9,3,1,VIT,2
128,EJAY,neon ,16,0.79,189.0,0.71,69%,127.8,0.63,0.19,0.00,0.38,25%,,0/1,10,10,14,3,0,6,VAL,-6
129,Reita,sova ,37,0.79,207.5,0.83,57%,137.3,0.68,0.22,0.08,0.22,44%,,0/5,15,25,30,8,3,8,MRG,-5
130,Bazzi,skye fade breach ,58,0.78,168.7,0.64,74%,102.8,0.52,0.40,0.05,0.03,16%,,0/7,11,30,47,23,3,2,GE,1
131,Munchkin,astra ,20,0.78,157.0,0.73,55%,100.6,0.55,0.45,0.00,0.25,18%,,0/2,11,11,15,9,0,5,GEN,-5
132,BerLIN,fade ,59,0.78,182.0,0.72,76%,122.8,0.58,0.39,0.12,0.19,28%,33%,1/3,17,34,47,23,7,11,FPX,-4
